V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V15,V16,V17,V18,V19,V20,V22,V23,V24,V27,V28,V29,V30,V31,V35,V36,V37,target,label
1.093,1.12,0.522,0.797,0.953,-0.619,-0.591,-1.39,1.044,-2.114,0.817,0.431,1.472,-0.45,1.112,0.282,-1.118,-0.568,0.51,0.176,-0.259,-0.618,-1.313,0.326,0.743,1.654,0.755,0.903,-0.289,-0.054,0.079,1.077,train
-0.632,-0.959,-0.474,1.194,-0.17,-0.572,-0.779,-1.35,-1.034,-2.114,0.025,0.514,-0.419,-0.099,1.592,0.293,-0.897,-0.583,0.466,-0.649,-0.063,-0.619,-1.314,-0.272,0.189,1.873,-0.613,-0.949,-0.289,0.41,1.837,-1.099,train
-0.999,-1.343,-0.454,1.156,-0.523,-0.786,-0.988,-1.463,-1.948,-2.114,-1.603,0.036,-0.751,0.569,2.064,-0.929,-0.897,0.064,0.423,-0.72,-0.063,-0.631,-1.314,-0.181,-0.457,1.873,0.023,-1.803,-0.943,-0.737,1.314,-1.656,train
-0.234,-0.248,-0.271,0.94,0.174,-0.61,-1.102,-1.463,-0.987,-2.114,-1.004,0.419,0.34,0.436,2.064,-1.075,-0.897,-1.304,0.396,-0.519,-0.259,-1.534,-1.315,-0.083,-0.457,2.002,-0.132,-0.897,-1.388,-1.23,0.94,-0.615,train
-0.898,-1.057,-0.655,0.94,-0.544,-0.654,-1.245,-1.634,-1.784,-2.114,-0.25,0.275,-0.247,0.545,1.98,-1.261,-0.897,-1.296,0.108,-0.775,-0.259,-1.537,-1.315,-0.405,1.29,1.935,0.466,-1.566,-1.537,0.049,1.681,-1.366,train
-0.403,-0.486,-0.304,0.951,-0.294,-0.488,-1.29,-1.686,-1.105,-2.114,-0.732,0.688,0.357,-0.288,1.626,-1.463,-0.897,-1.31,0.6,-0.483,-0.259,-1.534,-1.319,-0.148,1.289,1.887,1.369,-1.133,-2.131,-1.411,0.747,-0.345,train
-1.158,-1.538,-0.585,0.797,-0.818,-0.668,-1.416,-1.759,-2.33,-2.114,-0.917,0.248,-0.591,0.59,1.626,-1.707,-1.162,-1.306,0.413,-0.842,-0.063,-1.544,0.233,-0.342,1.287,1.212,0.174,-2.111,-2.131,-0.131,1.019,-1.625,train
-0.638,-0.312,-0.059,0.831,-0.223,-0.907,-1.403,-1.878,-1.317,-2.114,-1.014,-0.306,0.189,1.305,0.721,-1.66,-1.162,-1.273,0.275,-0.402,-0.063,-1.55,0.233,-0.073,1.288,0.834,0.194,-1.006,-2.131,-1.14,0.003,-0.735,train
0.375,0.422,0.369,0.929,0.132,-1.599,-1.263,-1.878,-0.323,-2.114,-1.0,-1.372,0.528,1.123,0.665,-1.268,-1.162,-0.389,0.197,0.048,-0.621,-0.638,0.232,0.105,1.286,0.163,-0.123,-0.342,-0.943,-0.891,-0.536,-0.153,train
0.211,0.385,0.491,1.182,-0.035,-1.287,-1.127,-1.84,-0.612,-2.114,-0.11,-0.868,0.453,1.147,0.055,-1.077,-1.251,-0.388,0.202,0.098,-0.156,-0.647,0.232,0.119,1.284,0.131,-0.574,-0.363,-0.943,-0.084,-0.78,0.054,train
-0.041,0.093,0.354,1.264,-0.221,-1.078,-1.028,-1.801,-0.749,-2.114,0.205,-0.544,0.201,1.428,-0.251,-0.887,-1.428,2.684,0.256,-0.101,-0.063,-0.31,0.79,-0.004,1.284,-0.225,-0.564,-0.456,-1.596,0.267,-0.123,0.037,train
0.369,0.479,0.723,1.36,0.072,-0.747,-0.888,-1.746,0.099,-2.114,-0.114,0.071,0.072,1.223,-0.251,-0.653,-1.162,3.619,-0.048,-0.056,-0.259,-0.836,0.798,0.172,1.284,-0.405,-0.861,-0.058,-0.943,-0.474,-0.824,0.295,train
-0.143,-0.345,0.363,1.313,0.04,-0.516,-0.754,-1.617,-0.643,-2.114,-0.165,0.546,-0.035,1.009,-0.433,-0.527,-1.162,4.072,-0.203,-0.429,-0.259,-0.806,0.8,-0.032,1.285,-0.405,-0.901,-0.467,-0.943,-0.12,0.311,0.064,train
-2.028,-2.665,-0.467,0.435,-1.479,-0.562,-0.798,-1.617,-2.754,-2.114,1.524,0.343,-1.657,1.033,-0.318,-0.812,0.165,0.053,0.0,-1.516,-0.259,-0.631,0.801,-0.638,1.281,0.114,-0.636,-2.632,-0.289,1.959,1.796,-2.586,train
-1.692,-2.18,-0.595,-0.669,-0.854,-0.574,-0.899,-1.61,-2.546,-2.114,-2.108,0.196,-0.82,0.585,0.026,-1.357,-0.897,0.568,0.324,-1.146,-0.259,0.218,0.741,-0.402,1.282,0.152,-0.197,-2.397,-0.289,-1.239,1.484,-2.613,train
0.618,0.245,0.382,-0.131,0.966,-1.081,-0.892,-1.64,0.291,-2.114,-2.577,-0.488,0.205,0.56,0.595,-1.375,-1.029,0.524,0.282,0.074,-0.259,0.355,-1.32,0.45,1.278,0.568,0.332,-0.252,-0.289,-2.565,-0.957,-0.073,train
1.196,1.166,0.748,-0.596,1.421,-1.184,-0.808,-1.682,0.587,-2.114,-1.64,-1.198,0.928,2.293,0.595,-0.741,-1.162,0.64,0.555,0.226,-0.063,0.353,-1.321,0.476,-0.245,1.095,2.05,0.7,0.31,-1.918,-1.106,1.273,train
1.106,1.177,1.033,-0.045,1.124,-1.814,-0.49,-1.549,0.544,-2.114,0.654,-2.275,1.454,1.477,1.418,-0.09,-1.162,0.066,-0.336,0.196,-0.063,0.353,-1.321,0.295,-0.459,1.329,-0.102,0.668,0.364,0.088,-1.03,1.849,train
0.462,0.48,0.593,-0.319,0.333,-1.293,-0.382,-1.549,-0.16,-2.114,1.699,-1.265,0.695,1.479,1.368,-0.068,0.165,0.069,0.055,-0.393,-0.259,-1.446,-1.321,0.19,-0.456,1.027,-0.285,0.079,0.364,2.01,-0.164,0.718,train
0.335,0.253,0.61,-0.518,0.159,-1.374,-0.297,-1.335,-0.255,-2.114,0.705,-1.035,0.687,0.98,1.22,-0.127,-0.366,1.974,-0.073,-0.86,-0.096,-0.635,-1.321,0.076,-0.457,0.984,-0.903,-0.075,-2.25,0.845,-0.021,0.396,train
-0.254,-0.148,0.237,-0.782,0.032,-0.591,-0.324,-1.305,-0.503,-2.114,0.85,0.439,0.44,0.806,0.87,-0.41,-0.897,1.056,-0.299,-1.434,-0.063,0.362,-1.321,-0.246,-0.458,0.872,-0.218,-0.151,-1.324,0.194,1.313,-0.553,train
-0.351,-0.485,0.302,-1.446,-0.031,-1.519,-0.438,-1.262,-0.812,-2.114,-1.41,-1.29,-0.096,0.771,0.87,-0.752,-1.162,0.985,-0.051,-1.315,-0.063,-0.997,-1.319,0.106,-0.451,0.737,1.42,-0.956,-0.943,-0.906,-0.011,-0.308,train
-0.261,-0.443,-0.049,-1.513,0.013,-0.857,-0.535,-1.299,-0.997,-2.114,-0.726,-0.159,0.027,0.635,0.495,-0.809,-1.162,-1.13,0.234,-1.514,-0.063,-0.335,-1.318,0.03,-0.454,0.573,0.844,-0.823,-1.596,-0.405,0.673,-0.496,train
0.369,0.615,0.706,-1.63,0.607,-1.296,-0.535,-1.299,0.176,-2.114,-0.896,-0.963,0.485,0.868,0.448,-0.675,-1.428,0.532,-0.52,-1.32,-0.259,0.345,-1.321,0.374,-0.453,0.483,0.327,0.138,-0.943,-1.116,-1.008,0.71,train
0.822,0.804,1.5,-1.6,0.631,-1.757,-0.37,-1.32,0.578,-2.114,0.244,-1.963,0.786,1.243,0.309,-0.675,-1.428,0.532,-0.693,-1.074,-0.096,0.342,0.194,0.374,-0.448,0.248,-0.014,0.542,0.037,0.099,-3.454,0.977,train
0.776,0.855,1.028,-1.634,0.458,-0.682,-0.194,-1.241,0.618,-2.114,1.318,0.232,0.362,0.646,0.114,0.189,-1.428,0.529,-0.274,-0.787,-0.063,0.353,0.477,0.206,0.533,-0.048,0.419,0.639,0.364,0.751,-0.399,0.894,train
0.494,0.729,0.786,-1.754,0.341,-0.72,-0.189,-1.13,0.149,-2.114,0.494,0.084,0.395,1.365,0.114,-0.031,-0.897,0.525,-0.54,-1.082,-0.621,0.365,0.131,0.24,0.74,0.063,-0.424,0.363,0.364,0.429,-0.237,0.487,train
0.386,0.329,0.658,-1.942,0.261,-0.515,-0.193,-1.073,0.063,-2.114,0.176,0.453,0.571,1.22,-0.009,-0.111,-0.897,0.535,-0.32,-1.145,-0.621,0.34,0.09,0.016,1.212,0.086,-0.224,0.244,0.364,-0.049,0.164,-0.169,train
-0.648,-0.522,0.173,-1.925,-0.397,-0.743,-0.309,-1.073,-0.994,-2.114,-0.533,-0.097,0.167,1.612,-0.066,-0.467,-1.428,2.226,-0.347,-1.37,-0.063,0.345,0.798,-0.153,1.289,-0.09,-0.308,-0.679,0.364,-0.092,0.744,-1.083,train
0.085,0.073,1.313,-1.867,-0.405,-0.928,-0.269,-1.099,0.165,-2.114,-1.127,-0.151,0.005,1.538,-0.239,-0.57,-1.693,0.077,-0.572,-1.049,-0.226,-0.645,0.799,0.264,1.286,-0.206,-0.25,-0.103,-0.616,-1.266,-2.314,0.116,train
-0.436,-0.25,0.506,-1.813,-0.374,-0.567,-0.254,-1.076,-0.82,-2.114,0.179,0.312,-0.08,1.099,-0.689,-0.121,-1.693,-3.512,0.406,-1.126,-0.259,-0.666,0.796,-0.004,1.286,-0.827,-0.319,-0.431,-2.502,0.184,0.315,-0.564,train
-0.014,0.099,0.854,-1.715,-0.171,-0.914,-0.285,-1.045,-0.439,-2.114,-0.187,-0.375,0.448,1.314,-0.689,-0.483,-1.428,0.072,-0.104,-0.674,-0.259,-0.657,0.796,0.209,1.286,-0.699,-0.216,-0.185,-0.646,-0.048,-0.785,-0.373,train
0.507,0.634,1.096,-1.602,0.191,-1.579,-0.227,-1.009,0.348,-1.036,-0.642,-1.648,0.326,1.297,-0.627,-0.244,-1.428,0.142,0.717,-0.397,-0.259,-0.645,0.245,0.359,1.193,-0.52,-0.328,0.389,-0.646,-0.535,-1.259,0.169,train
0.669,0.675,0.82,-1.324,0.323,-1.941,-0.099,-1.009,0.112,-1.036,-0.237,-2.413,0.604,1.16,-0.246,-0.076,-1.428,1.437,0.539,0.356,-0.063,-0.644,0.245,0.16,0.294,-0.072,0.23,0.471,-0.943,-0.202,-0.146,0.408,train
0.809,0.642,1.002,-1.214,0.332,-1.776,-0.02,-0.916,0.071,-0.821,0.073,-2.073,0.688,2.058,-0.246,-0.098,-1.428,1.442,0.397,0.341,-0.528,-0.645,0.233,0.273,0.274,0.122,0.218,0.167,-0.943,0.044,-1.288,0.864,train
0.827,0.602,1.66,-1.131,0.114,-1.474,0.221,-0.864,0.516,-0.821,0.687,-1.362,0.561,1.154,0.064,-0.009,-1.428,1.439,0.511,0.341,-0.621,-0.647,0.233,0.325,0.272,0.187,0.354,0.488,-0.943,0.423,-2.327,1.168,train
0.682,0.676,1.266,-1.132,0.612,-1.467,0.355,-0.79,0.389,-0.821,0.742,-1.403,0.463,1.295,0.064,0.438,-1.162,1.445,0.32,0.348,-0.063,-1.119,0.8,0.354,0.265,-0.164,-0.343,0.47,-2.131,0.815,-1.123,0.972,train
0.709,0.758,1.613,-1.027,0.413,-1.652,0.442,-0.621,0.433,-0.821,0.295,-1.874,0.745,2.414,-0.058,0.422,-1.162,1.432,0.171,0.277,-0.063,-1.128,0.232,0.378,0.27,-0.041,1.005,0.635,-0.918,0.385,-1.901,1.083,train
0.443,0.566,1.657,-0.996,-0.022,-1.519,0.587,-0.621,0.128,-0.39,0.515,-1.314,0.546,0.37,0.015,0.548,-1.162,1.449,0.576,0.072,-0.063,-1.205,0.232,0.214,0.269,0.081,-0.229,0.21,-1.537,0.477,-1.199,0.922,train
0.181,0.085,1.293,-0.991,-0.232,-1.615,0.56,-0.492,-0.187,-0.318,0.031,-1.625,0.124,0.632,0.015,0.324,-1.162,1.438,0.49,-0.122,-0.528,-1.175,0.51,0.21,-0.456,-0.393,0.531,-0.169,-1.537,0.217,-1.007,0.442,train
0.409,0.465,0.946,-1.007,-0.045,-1.479,0.492,-0.494,0.265,0.042,-0.086,-1.562,0.189,2.096,-0.373,0.324,-1.162,1.383,-0.209,-0.087,-0.621,0.227,0.51,0.182,-0.457,-0.465,-0.49,0.173,-1.062,-0.17,-1.097,0.385,train
-0.009,0.057,1.173,-0.958,-0.847,-1.87,0.559,-0.496,-0.084,0.042,-0.156,-2.372,-0.388,1.35,-0.468,0.283,-1.428,0.947,0.151,-0.0,-0.259,0.133,1.081,0.292,-0.453,-0.664,-0.083,-0.226,-0.586,-0.131,-1.438,0.193,train
-0.691,-0.43,1.36,-0.942,-1.524,-1.511,0.676,-0.409,-0.261,0.042,-0.179,-1.446,-0.95,1.096,-0.468,0.489,-1.428,1.442,0.091,-0.127,-0.259,-0.667,1.081,0.239,-0.449,-1.152,0.468,-0.492,-0.374,-0.055,-2.008,0.017,train
-0.433,-0.042,1.197,-1.031,-1.343,-1.65,0.722,-0.409,0.476,0.042,-0.143,-1.717,-1.111,1.024,-1.217,0.53,-1.428,1.435,0.183,-0.29,-0.259,-0.695,1.08,0.258,-0.449,-1.477,-0.08,0.055,-0.646,-0.285,-1.685,0.505,train
-0.284,0.008,1.027,-1.122,-1.237,-1.32,0.796,-0.298,0.348,0.042,0.118,-0.831,-0.995,0.421,-1.267,0.686,-1.428,1.436,-0.249,-0.626,-0.259,-0.309,1.081,0.262,-0.454,-1.417,0.692,0.028,-1.324,0.005,-1.203,0.705,train
-0.21,0.091,1.247,-1.228,-1.18,-1.766,0.82,-0.252,0.489,0.042,0.148,-2.079,-0.805,1.772,-1.338,0.656,-1.428,1.442,-0.272,-0.785,-0.259,0.328,1.082,0.227,0.43,-1.304,0.48,0.153,-3.556,0.146,-1.971,0.529,train
-1.184,-0.291,0.925,-1.372,-1.976,-0.681,0.861,-0.188,0.373,0.042,0.097,0.332,-1.644,0.865,-1.342,0.653,-1.428,0.083,-0.333,-1.337,-0.259,0.102,1.508,0.384,0.437,-1.534,0.593,-0.049,-1.062,0.176,-0.363,-0.061,train
-1.249,0.121,1.085,-1.437,-2.023,-1.158,0.851,-0.12,0.506,0.042,-0.613,-0.791,-1.498,1.08,-1.427,0.683,-1.428,-1.319,-0.572,-1.195,-0.259,-0.349,1.506,0.421,0.434,-1.563,0.126,0.297,-0.586,-0.46,-0.649,-0.401,train
-0.857,0.156,0.858,-1.463,-1.289,-0.965,0.843,-0.12,0.245,0.042,-0.642,-0.147,-1.027,0.519,-1.597,0.725,-1.428,-0.389,-0.476,-0.917,-0.259,-1.103,1.432,0.358,0.44,-1.388,-0.217,0.351,-1.537,-0.66,-0.334,-0.111,train
0.373,0.517,0.876,-1.395,-0.169,-0.784,0.816,-0.074,0.802,0.042,-0.097,0.145,-0.303,0.844,-1.345,0.677,-1.693,-0.279,-0.583,-0.389,-0.096,-1.103,0.799,0.501,1.285,-0.963,-0.302,0.734,-1.537,-0.256,-0.188,0.387,train
-0.034,-0.06,0.43,-1.431,0.348,-0.739,0.778,-0.043,-0.03,0.042,0.986,0.251,0.189,-0.09,-0.54,0.599,-1.693,-0.291,-0.085,-0.128,-0.063,-1.079,0.233,0.082,1.288,-0.963,0.529,0.584,-1.537,0.641,0.831,-0.007,train
-0.324,-0.556,0.144,-1.221,0.14,-1.549,0.634,-0.0,-0.634,0.042,-0.431,-1.691,-0.214,0.797,-0.54,-0.142,-1.162,0.445,-0.139,-0.504,-0.259,-1.005,-1.319,0.319,0.742,0.139,0.874,-0.691,-1.537,0.109,0.047,0.053,train
0.732,0.56,1.101,-1.24,0.375,-1.686,0.536,-0.111,0.62,0.042,-0.477,-1.809,0.986,0.821,0.568,0.135,-1.162,0.437,0.262,0.087,-0.259,-0.646,-1.319,0.41,0.428,0.726,0.334,0.379,-1.24,-0.505,-1.672,0.838,train
0.991,0.795,1.195,-1.11,0.261,-1.922,0.538,-0.111,0.716,0.042,0.771,-2.228,0.811,0.795,0.667,0.228,-1.428,0.431,-0.138,0.43,-0.063,-0.644,-1.319,0.382,0.43,0.532,0.203,0.652,-1.166,0.246,-1.173,0.647,train
0.86,0.553,0.78,-0.771,0.187,-1.883,0.566,-0.09,0.527,0.042,0.419,-2.156,0.703,1.09,0.591,0.487,-1.162,0.435,-0.13,1.143,-0.063,-0.646,-1.319,0.327,0.429,0.338,0.28,0.489,-0.943,0.704,-0.217,0.079,train
0.72,0.709,0.618,-0.43,0.305,-1.576,0.512,-0.086,0.538,0.042,-0.06,-1.602,0.624,1.063,0.363,0.392,-1.162,0.429,0.046,1.255,-0.063,-0.648,-1.32,0.326,0.433,0.124,-0.547,0.62,-0.943,-0.118,-0.074,0.829,train
0.554,0.422,0.465,-0.456,0.431,-0.902,0.511,-0.079,0.435,0.042,0.597,-0.061,0.812,0.426,0.259,0.353,-1.162,0.445,-0.231,0.971,-0.259,-0.648,-1.32,0.235,0.433,0.124,-0.2,0.592,-0.943,0.271,0.454,0.921,train
0.418,0.393,0.463,-0.575,0.32,-1.733,0.417,-0.109,0.385,0.042,0.069,-1.696,0.991,0.592,0.259,0.052,-1.162,0.444,-0.196,0.915,-0.259,-0.635,-1.32,0.424,0.427,0.458,-0.3,0.295,-0.943,0.418,0.028,0.692,train
0.319,0.124,0.053,-0.536,0.32,-1.377,0.332,-0.109,-0.121,0.042,0.746,-1.001,0.696,0.581,0.508,0.088,-0.897,0.433,0.081,1.124,-0.259,-0.636,-1.32,0.176,0.428,0.578,0.184,0.161,-0.943,1.019,0.711,-0.548,train
0.622,0.687,0.467,0.233,0.435,-1.85,0.277,-0.173,0.51,0.042,-0.72,-1.847,1.039,0.387,0.545,-0.011,-0.897,0.432,-0.118,0.961,-0.259,-0.649,-1.32,0.285,0.424,0.697,0.024,0.558,-0.943,-0.752,0.2,1.291,train
0.126,-0.079,0.193,0.721,0.296,-1.899,0.224,-0.198,-0.354,0.042,0.65,-2.144,0.769,0.404,0.654,0.02,-0.897,0.438,0.261,0.161,-0.259,-0.649,-1.32,0.083,0.74,0.641,0.29,-0.131,-0.943,0.521,0.591,0.802,train
-0.653,-1.206,-0.467,0.672,-0.505,-0.882,0.096,-0.232,-1.193,0.042,1.119,-0.249,-0.246,0.329,0.358,-0.445,0.165,0.443,-0.18,-0.906,-0.259,-0.643,-1.32,-0.283,0.737,0.641,0.477,-0.99,-0.943,1.319,1.557,-0.527,train
-0.595,-0.562,0.0,0.607,-0.732,-1.07,-0.035,-0.385,-0.764,0.042,-0.61,-0.337,-0.31,-0.071,0.358,-0.759,-0.897,0.984,0.21,-1.257,-0.259,-0.233,0.083,0.083,0.736,-0.206,1.213,-0.823,-1.378,-0.499,0.021,-0.121,train
-0.542,-0.337,0.042,-0.198,-0.701,-1.385,-0.115,-0.385,-0.723,0.042,-0.753,-1.174,-0.139,0.308,-0.425,-0.73,-0.897,0.984,0.215,-1.212,-0.063,0.335,0.8,0.22,0.737,-0.627,0.488,-0.404,0.364,-0.087,0.123,-0.624,train
-0.297,0.092,0.725,-0.328,-1.063,-1.618,-0.054,-0.494,0.197,0.042,-1.136,-1.737,-0.7,0.766,-0.977,-0.363,-0.897,0.075,-0.266,-1.212,-0.063,0.093,1.504,0.27,0.736,-0.913,0.637,0.114,0.364,-1.086,-1.438,-0.399,train
-0.61,-0.096,0.043,-0.326,-0.91,-0.543,0.02,-0.47,0.249,0.042,-0.131,0.738,-0.862,-0.763,-1.069,-0.061,-0.897,-0.658,-0.313,-0.721,-0.063,-0.639,1.063,0.044,0.73,-1.267,0.477,-0.025,-0.289,-0.337,0.766,-0.618,train
-0.533,-0.221,0.146,-0.313,-0.388,-1.448,-0.07,-0.437,-0.867,0.042,-1.025,-1.205,-0.293,0.312,-1.197,-0.519,-0.897,0.432,-0.246,-0.326,-0.063,-0.654,0.799,0.252,0.732,-1.018,0.05,-0.605,-0.507,-0.704,-0.223,-0.698,train
-0.053,0.059,1.025,-0.131,-0.544,-1.585,0.048,-0.455,0.086,0.042,-0.784,-1.648,-0.528,0.908,-0.916,-0.258,-0.897,0.517,-0.376,0.516,-0.063,0.344,0.8,0.248,0.733,-0.808,0.022,-0.019,-0.997,-0.853,-1.529,-0.198,train
-0.395,0.112,0.699,0.346,-1.197,-0.608,0.225,-0.455,0.451,0.042,0.075,0.455,-1.032,-0.354,-0.916,0.276,-0.808,-0.382,-0.036,0.625,-0.063,-0.64,0.8,0.321,0.732,-1.126,-0.087,0.23,-0.507,-0.653,-0.153,0.282,train
-0.108,0.084,0.723,0.605,-0.941,-0.868,0.218,-0.359,0.042,0.042,-0.324,-0.021,-0.541,0.738,-1.138,0.155,-0.366,-0.378,-0.458,0.57,-0.063,-0.643,0.801,0.396,2.109,-1.232,-0.362,0.24,-0.289,-0.179,-0.543,0.52,train
-0.162,-0.203,0.266,0.593,-0.404,-1.413,0.302,-0.324,-0.272,0.042,0.59,-1.426,-0.326,0.776,-0.93,0.236,-0.366,0.517,-0.317,0.246,-0.063,-0.643,0.799,0.169,2.144,-0.846,0.034,0.005,-0.943,0.9,0.181,-0.083,train
0.287,0.25,0.811,0.538,-0.232,-0.902,0.371,-0.274,0.43,0.042,-0.07,-0.183,-0.023,0.685,-0.93,0.216,-0.366,0.527,-0.303,0.215,-0.063,-0.643,0.799,0.31,2.143,-0.846,-0.049,0.389,-0.943,-0.375,-0.325,0.993,train
0.122,-0.074,0.135,0.425,0.235,-1.078,0.378,-0.203,-0.252,0.042,0.864,-0.562,0.252,-0.088,-0.538,0.074,-0.366,0.531,0.633,-0.548,-0.063,-0.633,0.8,0.155,2.144,-0.48,1.181,0.118,-0.943,0.805,0.65,0.508,train
0.808,0.497,0.625,0.164,0.248,-1.492,0.335,-0.203,0.748,0.042,0.389,-1.616,0.673,0.819,-0.538,-0.098,-0.366,0.53,0.944,-0.739,-0.063,-0.648,0.094,0.451,-2.433,-0.019,0.755,0.608,-0.943,0.384,-0.529,0.87,train
0.909,0.684,1.254,0.134,0.398,-1.732,0.436,-0.214,0.617,0.042,0.265,-1.889,0.898,0.298,0.125,0.187,-0.366,0.527,0.597,-0.739,-0.063,-0.643,0.09,0.32,-2.433,0.208,1.281,0.443,-0.943,0.293,-1.298,1.144,train
1.018,0.77,0.68,0.153,0.346,-1.886,0.446,-0.175,0.738,0.042,0.548,-2.078,0.835,-0.56,0.367,0.438,-0.366,-0.691,0.753,-0.419,-0.063,-0.648,-1.32,0.448,1.087,0.282,0.46,0.487,-0.943,0.583,-0.078,0.812,train
0.833,0.451,0.501,0.149,0.544,-1.754,0.386,-0.122,0.44,0.042,-0.755,-2.009,0.874,0.883,0.367,0.201,-0.676,0.529,0.236,-0.071,-0.259,0.334,-1.32,0.424,1.283,0.538,0.917,0.382,-0.289,-0.035,-0.046,0.515,train
0.933,0.738,0.978,0.202,0.521,-1.847,0.426,-0.116,0.537,0.042,-0.175,-2.154,1.212,0.782,0.761,0.332,-0.897,0.531,0.481,0.058,-0.259,0.346,-1.32,0.439,1.285,0.697,0.565,0.466,-0.289,-0.144,-0.98,0.521,train
0.895,0.68,0.879,0.416,0.433,-1.679,0.466,-0.116,0.537,0.042,-0.186,-1.764,0.7,0.451,0.616,0.456,-0.897,0.531,0.86,0.661,-0.063,0.354,-1.32,0.417,0.874,0.327,-0.245,0.487,0.364,-0.023,-0.474,0.714,train
0.932,0.65,0.878,0.922,0.441,-1.321,0.437,-0.1,0.487,0.042,0.429,-0.744,0.875,-0.718,0.616,0.425,-0.764,0.526,0.658,0.615,-0.063,0.355,-1.32,0.364,0.508,0.327,0.047,0.512,0.364,0.307,-0.484,1.114,train
0.713,0.635,1.178,0.911,0.663,-1.898,0.318,-0.119,0.385,0.042,0.295,-2.282,0.922,0.609,0.562,0.189,0.165,0.537,0.394,0.381,-0.063,0.36,-1.319,0.411,0.499,0.634,-0.084,0.433,0.364,0.78,-0.909,1.085,train
0.918,0.758,0.817,0.849,0.484,-1.761,0.333,-0.146,0.7,0.042,0.956,-1.835,1.228,0.092,0.724,0.467,0.165,0.531,0.629,0.217,-0.259,0.36,-1.32,0.291,1.132,0.667,0.865,0.759,0.364,0.494,-0.124,1.249,train
0.287,0.133,0.173,0.708,0.114,-2.038,0.239,-0.157,-0.584,0.042,0.251,-2.727,0.986,0.599,0.724,0.216,0.165,0.53,0.596,-0.235,-0.259,0.366,-1.318,0.088,2.138,0.649,-0.097,-0.198,0.364,0.626,0.461,0.436,train
